,name,fullname,shift,div,siz,dnaApos,taxonid,realm1,realm2,realm3,realm4,realm5,Ori,Ter,leading1,lagging1,lagging2,leading2,dist_dnaA_ori,frac_co_orient,median_dist_ori_rrna
81,NZ_CP089272.1,"NZ_CP089272.1 Escherichia coli O157:H7 strain M1300706001A chromosome, complete genome",74433,0.488674,5526378,49485,83334,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,74434,2775031,"[74434, 2775031)","[1, 74434)","[2775031, 5526378]",,24949.0,1.0,371964.0
82,NZ_CP089234.1,"NZ_CP089234.1 Klebsiella sp. KPN54798 chromosome, complete genome",36289,0.486232,5420843,-1,2897413,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,36290,2672077,"[36290, 2672077)","[1, 36290)","[2672077, 5420843]",,36291.0,1.0,372996.0
83,NZ_CP089270.1,"NZ_CP089270.1 Escherichia coli O157:H7 strain M1300706002 chromosome, complete genome",76289,0.452307,5646087,49494,83334,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,76290,2630055,"[76290, 2630055)","[1, 76290)","[2630055, 5646087]",,26796.0,1.0,373781.0
84,NZ_CP089236.1,"NZ_CP089236.1 Pseudomonas aeruginosa strain JNQH-PA027 chromosome, complete genome",107133,0.406074,6966544,134,287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,107134,2936066,"[107134, 2936066)","[1, 107134)","[2936066, 6966544]",,107000.0,1.0,961489.5
85,NZ_CP089296.1,"NZ_CP089296.1 Methylobacterium currus strain TP-3 chromosome 2, complete sequence",2041,0.402891,764096,-1,2051553,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,2042,309889,"[2042, 309889)","[1, 2042)","[309889, 764096]",,2043.0,0.3333333333333333,252989.0
86,NZ_CP089303.1,"NZ_CP089303.1 Limosilactobacillus reuteri strain VHProbi M07 chromosome, complete genome",-11915,0.526892,2041529,1,1598,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,2029615,1063751,"[1, 1063751)","[1063751, 2029615)",,"[2029615, 2041529]",11915.0,1.0,628736.5
87,NZ_CP089319.1,"NZ_CP089319.1 Enterococcus faecium strain NMVRE-001 chromosome, complete genome",25901,0.481433,2831553,1,1352,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,25902,1389105,"[25902, 1389105)","[1, 25902)","[1389105, 2831553]",,25901.0,1.0,421493.5
88,NZ_CP089415.1,"NZ_CP089415.1 Xanthomonas oryzae pv. oryzae strain GXO2016 chromosome, complete genome",183013,0.437984,4929711,1,64187,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,183014,2342149,"[183014, 2342149)","[1, 183014)","[2342149, 4929711]",,183013.0,1.0,217848.5
89,NZ_CP089301.1,"NZ_CP089301.1 Novosphingobium sp. Sx8-5 strain NBRC chromosome, complete genome",-2698296,0.348906,5698133,2796984,2896849,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,2999838,4987951,"[2999838, 4987951)","[1, 2999838)","[4987951, 5698133]",,202854.0,1.0,2685494.0
90,NZ_CP075175.1,"NZ_CP075175.1 Paenibacillus sp. 481 chromosome, complete genome",2357195,0.498046,5693877,2374166,2835869,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,2357196,5193009,"[2357196, 5193009)","[1, 2357196)","[5193009, 5693877]",,16970.0,0.875,584571.5
91,NZ_CP089392.1,"NZ_CP089392.1 Klebsiella oxytoca strain Kox71 chromosome, complete genome",1185421,0.499117,5908586,1150522,571,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,1185422,4134498,"[1185422, 4134498)","[1, 1185422)","[4134498, 5908586]",,34900.0,1.0,398660.5
92,NZ_CP089238.1,"NZ_CP089238.1 Pseudomonas aeruginosa strain JNQH-PA033 chromosome, complete genome",103396,0.47935,6427621,134,287,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,103397,3184477,"[103397, 3184477)","[1, 103397)","[3184477, 6427621]",,103263.0,1.0,875146.0
93,NZ_CP089395.1,"NZ_CP089395.1 Klebsiella michiganensis strain Kox58 chromosome, complete genome",-217066,0.514007,6060345,5868188,1134687,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,5843280,2897995,"[1, 2897995)","[2897995, 5843280)",,"[5843280, 6060345]",24908.0,1.0,419373.0
94,NZ_CP089304.1,"NZ_CP089304.1 Pseudomonas sp. NIBR-H-19 chromosome, complete genome",2185226,0.505641,6184378,2197665,2901380,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,2185227,5312302,"[2185227, 5312302)","[1, 2185227)","[5312302, 6184378]",,12438.0,1.0,939643.0
95,NZ_CP089399.1,"NZ_CP089399.1 Klebsiella oxytoca strain Kox26 chromosome, complete genome",1185248,0.499627,5907204,1150505,571,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,1185249,4136648,"[1185249, 4136648)","[1, 1185249)","[4136648, 5907204]",,34744.0,1.0,397937.0
